Sport_Product,Geo_Code,Country,Year,Amt_Import,Amt_Export
BALL,BE,Belgium,2000,"26,115,000","7,915,000"
BALL,BE,Belgium,2001,"23,456,000","10,546,000"
BALL,BE,Belgium,2002,"33,800,000","14,738,000"
BALL,BE,Belgium,2003,"33,206,000","24,711,000"
BALL,BE,Belgium,2004,"33,360,000","15,890,000"
BALL,BE,Belgium,2005,"41,006,000","40,189,000"
BALL,BE,Belgium,2006,"43,169,000","35,566,000"
BALL,BE,Belgium,2007,"36,079,000","39,691,000"
BALL,BE,Belgium,2008,"39,076,000","62,183,000"
BALL,BE,Belgium,2009,"37,620,000","55,683,000"
BALL,BE,Belgium,2010,"36,035,000","51,193,000"
BALL,BE,Belgium,2011,"26,764,000","57,284,000"
BALL,BE,Belgium,2012,"39,486,000","52,426,000"
BALL,BE,Belgium,2013,"38,192,000","59,139,000"
BALL,BE,Belgium,2014,"42,531,000","62,508,000"
BALL,BE,Belgium,2015,"47,293,000","67,815,000"
BALL,BG,Bulgaria,2000,"521,000","30,000"
BALL,BG,Bulgaria,2001,"690,000","82,000"
BALL,BG,Bulgaria,2002,"742,000","151,000"
BALL,BG,Bulgaria,2003,"946,000","93,000"
BALL,BG,Bulgaria,2004,"975,000","68,000"
BALL,BG,Bulgaria,2005,"1,043,000","41,000"
BALL,BG,Bulgaria,2006,"1,588,000","113,000"
BALL,BG,Bulgaria,2007,"1,903,000","53,000"
BALL,BG,Bulgaria,2008,"1,878,000","56,000"
BALL,BG,Bulgaria,2009,"1,264,000","57,000"
BALL,BG,Bulgaria,2010,"1,043,000","19,000"
BALL,BG,Bulgaria,2011,"938,000","34,000"
BALL,BG,Bulgaria,2012,"1,319,000","107,000"
BALL,BG,Bulgaria,2013,"1,715,000","246,000"
BALL,BG,Bulgaria,2014,"2,194,000","167,000"
BALL,BG,Bulgaria,2015,"1,845,000","318,000"
BALL,CY,Cyprus,2000,"943,000","2,000"
BALL,CY,Cyprus,2001,"887,000",0
BALL,CY,Cyprus,2002,"1,188,000","16,000"
BALL,CY,Cyprus,2003,"671,000","106,000"
BALL,CY,Cyprus,2004,"799,000",
BALL,CY,Cyprus,2005,"909,000","13,000"
BALL,CY,Cyprus,2006,"1,067,000","12,000"
BALL,CY,Cyprus,2007,"840,000","49,000"
BALL,CY,Cyprus,2008,"1,085,000","3,000"
