car_number,start,finish,lap,lap_time,lap_speed,running_position
5,4,1,1,76.753,114.914,4
5,4,1,2,73.503,119.995,3
5,4,1,3,73.377,120.201,3
5,4,1,4,73.26,120.393,3
5,4,1,5,73.502,119.997,3
5,4,1,6,73.681,119.705,3
5,4,1,7,74.546,118.316,3
5,4,1,8,74.067,119.081,3
5,4,1,9,74.446,118.475,3
5,4,1,10,74.904,117.751,2
5,4,1,11,173.885,50.723,2
5,4,1,12,207.772,42.45,2
5,4,1,13,75.01,117.584,2
5,4,1,14,73.483,120.028,2
5,4,1,15,73.861,119.413,2
5,4,1,16,73.972,119.234,2
5,4,1,17,74.322,118.673,2
5,4,1,18,74.225,118.828,2
5,4,1,19,74.548,118.313,2
5,4,1,20,74.328,118.663,2
5,4,1,21,199.244,44.267,1
5,4,1,22,221.905,39.747,19
5,4,1,23,78.832,111.883,16
5,4,1,24,74.901,117.755,15
5,4,1,25,91.789,96.09,13
5,4,1,26,201.591,43.752,13
5,4,1,27,204.283,43.175,13
5,4,1,28,77.364,114.007,12
5,4,1,29,74.305,118.7,11
5,4,1,30,74.679,118.105,10
5,4,1,31,74.856,117.826,9
5,4,1,32,74.267,118.761,8
5,4,1,33,73.927,119.307,7
5,4,1,34,74.265,118.764,7
5,4,1,35,73.787,119.533,7
5,4,1,36,74.215,118.844,7
5,4,1,37,74.703,118.068,6
5,4,1,38,74.096,119.035,6
5,4,1,39,74.759,117.979,5
5,4,1,40,74.706,118.063,4
5,4,1,41,140.607,62.728,4
5,4,1,42,197.983,44.549,4
5,4,1,43,210.07,41.986,4
5,4,1,44,75.697,116.517,3
5,4,1,45,73.018,120.792,3
5,4,1,46,73.696,119.681,3
5,4,1,47,74.049,119.11,3
5,4,1,48,74.731,118.023,3
5,4,1,49,74.081,119.059,3
5,4,1,50,74.23,118.82,3
5,4,1,51,74.28,118.74,3
5,4,1,52,74.513,118.369,3
5,4,1,53,74.813,117.894,3
5,4,1,54,74.942,117.691,3
5,4,1,55,75.873,116.247,2
5,4,1,56,74.689,118.09,2
5,4,1,57,85.026,103.733,3
5,4,1,58,100.948,87.372,13
5,4,1,59,73.561,119.9,10
5,4,1,60,74.242,118.801,7
5,4,1,61,73.614,119.814,6
5,4,1,62,74.021,119.155,5
5,4,1,63,75.281,117.161,2
5,4,1,64,73.887,119.371,2
5,4,1,65,74.017,119.162,1
5,4,1,66,74.494,118.399,1
5,4,1,67,74.374,118.59,1
5,4,1,68,74.031,119.139,1
5,4,1,69,74.534,118.335,1
5,4,1,70,74.794,117.924,1
5,4,1,71,74.293,118.719,1
5,4,1,72,74.534,118.335,1
5,4,1,73,74.728,118.028,1
5,4,1,74,74.929,117.711,1
5,4,1,75,75.171,117.332,1
5,4,1,76,74.562,118.291,1
5,4,1,77,74.859,117.822,1
5,4,1,78,74.555,118.302,1
5,4,1,79,74.78,117.946,1
5,4,1,80,74.976,117.638,1
5,4,1,81,75.095,117.451,1
5,4,1,82,74.822,117.88,1
5,4,1,83,74.86,117.82,1
5,4,1,84,75.089,117.461,1
5,4,1,85,75.232,117.237,1
5,4,1,86,75.301,117.13,1
5,4,1,87,76.344,115.53,1
5,4,1,88,76.595,115.151,1
5,4,1,89,75.195,117.295,1
5,4,1,90,76.638,115.087,1
9,11,2,1,80.43,109.661,28
9,11,2,2,76.709,114.98,27
